!!SBtab TableID='ParameterData' TableName='Parameter' TableType='Quantity' Document='E. coli central carbon metabolism - unbalanced kinetic data' SBtabVersion='1.0' Date='2022-3-16'							
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
Michaelis constant	PYK	PEP	3.10E-01	nan	mM	R00200	C00074
substrate catalytic rate constant	PYK		2.26E+02	nan	1/s	R00200	
Michaelis constant	PYK	ATP	nan	nan	mM	R00200	C00002
Michaelis constant	PYK	PYR	nan	nan	mM	R00200	C00022
product catalytic rate constant	PYK		nan	nan	1/s	R00200	
equilibrium constant	Thio		4.17E-05	2.07E-05	dimensionless	R00238	
product catalytic rate constant	Thio		3.00E+03	nan	1/s	R00238	
substrate catalytic rate constant	Thio		1.00E+01	nan	1/s	R00238	
Michaelis constant	Thio	CoA	8.00E-03	2.00E-03	mM	R00238	C00010
Michaelis constant	Thio	AcCoA	1.39E-01	1.94E-02	mM	R00238	C00024
Michaelis constant	Thio	AcAcCoA	1.76E-02	3.40E-03	mM	R00238	C00332
equilibrium constant	ALD		8.62E-05	2.86E-05	dimensionless	R01070	
Michaelis constant	ALD	DHAP	1.30E-01	nan	mM	R01070	C00111
Michaelis constant	ALD	FBP	1.90E-01	nan	mM	R01070	C00354
substrate catalytic rate constant	ALD		8.20E+00	nan	1/s	R01070	
Michaelis constant	ALD	G3P	nan	nan	mM	R01070	C00118
product catalytic rate constant	ALD		nan	nan	1/s	R01070	
equilibrium constant	PFK		1.31E+03	5.36E+02	dimensionless	R04779	
Michaelis constant	PFK	ATP	8.00E-03	nan	mM	R04779	C00002
Michaelis constant	PFK	F6P	7.00E-03	nan	mM	R04779	C00085
substrate catalytic rate constant	PFK		6.20E+01	nan	1/s	R04779	
Michaelis constant	PFK	FBP	7.00E-01	nan	mM	R04779	C00354
Michaelis constant	PFK	ADP	2.10E+00	nan	mM	R04779	C00008
product catalytic rate constant	PFK		nan	nan	1/s	R04779	
equilibrium constant	PGI		3.50E-01	9.66E-02	dimensionless	R02740	
Michaelis constant	PGI	F6P	1.47E-01	6.00E-03	mM	R02740	C00085
Michaelis constant	PGI	G6P	2.80E-01	nan	mM	R02740	C00092
product catalytic rate constant	PGI		2.09E+02	1.30E+01	1/s	R02740	
substrate catalytic rate constant	PGI		1.21E+02	7.00E+00	1/s	R02740	
equilibrium constant	TPI		1.05E-01	3.74E-02	dimensionless	R01015	
Michaelis constant	TPI	DHAP	1.70E+00	1.00E-01	mM	R01015	C00111
Michaelis constant	TPI	G3P	1.00E+00	1.00E-01	mM	R01015	C00118
product catalytic rate constant	TPI		8.60E+02	1.00E+01	1/s	R01015	
substrate catalytic rate constant	TPI		8.90E+03	7.00E+02	1/s	R01015	
