!!SBtab TableID='ParameterData' TableName='Parameter' TableType='Quantity' Document='E. coli central carbon metabolism - unbalanced kinetic data' SBtabVersion='1.0' Date='2022-3-16'							
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mean	!Std	!Unit	!Reaction:Identifiers:kegg.reaction	!Compound:Identifiers:kegg.compound
Michaelis constant	PYK	PEP	3.10E-01	nan	mM	R00200	C00074
substrate catalytic rate constant	PYK		2.26E+02	nan	1/s	R00200	
Michaelis constant	PYK	ATP	nan	nan	mM	R00200	C00002
Michaelis constant	PYK	PYR	nan	nan	mM	R00200	C00022
product catalytic rate constant	PYK		nan	nan	1/s	R00200	
equilibrium constant	Thio		4.17E-05	2.07E-05	dimensionless	R00238	
product catalytic rate constant	Thio		3.00E+03	nan	1/s	R00238	
substrate catalytic rate constant	Thio		1.00E+01	nan	1/s	R00238	
Michaelis constant	Thio	CoA	8.00E-03	2.00E-03	mM	R00238	C00010
Michaelis constant	Thio	AcCoA	1.39E-01	1.94E-02	mM	R00238	C00024
Michaelis constant	Thio	AcAcCoA	1.76E-02	3.40E-03	mM	R00238	C00332
equilibrium constant	G6PDH		1.55E+01	1.03E+01	dimensionless	R10520	
Michaelis constant	G6PDH	NADH	4.80E-01	7.00E-03	mM	R10520	C00004
Michaelis constant	G6PDH	G6P	1.14E+00	3.70E-02	mM	R10520	C00092
Michaelis constant	G6PDH	NAD	1.63E+00	2.43E-01	mM	R10520	C00003
substrate catalytic rate constant	G6PDH		7.36E+02	3.20E+01	1/s	R10520	
Michaelis constant	G6PDH	P6Glac	nan	nan	mM	R10520	C01236
product catalytic rate constant	G6PDH		nan	nan	1/s	R10520	
equilibrium constant	GLNdeh		3.15E+07	2.73E+07	dimensionless	R02036	
Michaelis constant	GLNdeh	P6GLN	4.00E-02	nan	mM	R02036	C00345
substrate catalytic rate constant	GLNdeh		2.57E+02	nan	1/s	R02036	
Michaelis constant	GLNdeh	KDPG	nan	nan	mM	R02036	C04442
product catalytic rate constant	GLNdeh		nan	nan	1/s	R02036	
equilibrium constant	KDPGald		1.39E-03	1.13E-03	dimensionless	R05605	
Michaelis constant	KDPGald	PYR	2.99E+00	nan	mM	R05605	C00022
Michaelis constant	KDPGald	G3P	3.69E-01	nan	mM	R05605	C00118
Michaelis constant	KDPGald	KDPG	2.50E-01	nan	mM	R05605	C04442
substrate catalytic rate constant	KDPGald		8.30E+01	nan	1/s	R05605	
product catalytic rate constant	KDPGald		nan	nan	1/s	R05605	
equilibrium constant	PGase		2.82E+04	2.07E+04	dimensionless	R02035	
substrate catalytic rate constant	PGase		4.81E+02	nan	1/s	R02035	
Michaelis constant	PGase	P6GLN	3.51E-01	nan	mM	R02035	C00345
Michaelis constant	PGase	P6Glac	2.50E-02	nan	mM	R02035	C01236
product catalytic rate constant	PGase		nan	nan	1/s	R02035	
