!!SBtab SBtabVersion='1.0' TableID='ParameterBalanced' TableType='Quantity' TableName='Parameter' Document='Ecoli_NOGEMP_suc.tsv' Date='2023-05-26'
!QuantityType	!Reaction:SBML:reaction:id	!Compound:SBML:species:id	!Mode	!Unit	!UnconstrainedGeometricMean	!UnconstrainedGeometricStd	!UnconstrainedMean	!UnconstrainedStd	!Std	!GeometricStd	!Organism	!Reference
concentration		Ru5P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		X5P	5.8289	kJ/mol	NaN	NaN	5.8289	121.7319				
concentration		X5P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		S7P	-16.158	kJ/mol	NaN	NaN	-16.158	185.931				
concentration		S7P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		G1P	-14.3145	kJ/mol	NaN	NaN	-14.3145	148.9336				
concentration		G1P	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Suc	15.1439	kJ/mol	NaN	NaN	15.1439	366.0727				
concentration		Suc	0.1	mM	0.1	10.0	1.4167	20.0217				
standard chemical potential		Fru	7.6535	kJ/mol	NaN	NaN	7.6535	242.3333				
concentration		Fru	0.1	mM	0.1	10.0	1.4167	20.0217				
catalytic rate constant geometric mean	PGI		140.2738	1/s	140.2738	1.3954	148.2782	50.8015				
concentration of enzyme	PGI		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PGI		0.3131	dimensionless	0.3131	1.5245	0.3422	0.1509		1.2		
substrate catalytic rate constant	PGI		106.8302	1/s	106.8302	1.5234	116.7272	51.3954		1.2		
product catalytic rate constant	PGI		184.1872	1/s	184.1872	1.5234	201.2508	88.6115		1.2		
catalytic rate constant geometric mean	ALD		157.6164	1/s	157.6164	3.5199	347.9287	684.7028				
concentration of enzyme	ALD		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	ALD		10224.2981	dimensionless	10224.2981	1.6029	11428.0026	5706.2238		1.2		
substrate catalytic rate constant	ALD		3486.9452	1/s	3486.9452	10.9538	61183.8453	1071820.2752				
product catalytic rate constant	ALD		7.1246	1/s	7.1246	1.6001	7.9568	3.9568		1.2		
catalytic rate constant geometric mean	TPI		2404.1587	1/s	2404.1587	1.3954	2541.3462	870.6897				
concentration of enzyme	TPI		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	TPI		3.8162	dimensionless	3.8162	1.5245	4.171	1.8398		1.2		
substrate catalytic rate constant	TPI		1676.6806	1/s	1676.6806	1.5234	1832.0124	806.6422		1.2		
product catalytic rate constant	TPI		3447.275	1/s	3447.275	1.5234	3766.639	1658.4659		1.2		
catalytic rate constant geometric mean	GAPDH		181.4297	1/s	181.4297	5.1674	698.9419	2600.3148				
concentration of enzyme	GAPDH		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	GAPDH		0.5597	dimensionless	0.5597	1.6029	0.6256	0.3124		1.2		
substrate catalytic rate constant	GAPDH		232.5069	1/s	232.5069	1.6003	259.6844	129.176		1.2		
product catalytic rate constant	GAPDH		141.5732	1/s	141.5732	24.5005	23591.3927	3931137.0856				
catalytic rate constant geometric mean	PGK		511.5281	1/s	511.5281	1.3954	540.7173	185.2549				
concentration of enzyme	PGK		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PGK		1845.5364	dimensionless	1845.5364	1.5472	2029.9802	929.9639		1.2		
substrate catalytic rate constant	PGK		1066.2002	1/s	1066.2002	1.5462	1172.4148	536.197		1.2		
product catalytic rate constant	PGK		245.4145	1/s	245.4145	1.5462	269.8627	123.4201		1.2		
catalytic rate constant geometric mean	PGM		182.0957	1/s	182.0957	4.9751	659.6128	2296.4903				
concentration of enzyme	PGM		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PGM		0.1478	dimensionless	0.1478	1.6029	0.1653	0.0825		1.2		
substrate catalytic rate constant	PGM		100.6334	1/s	100.6334	1.6003	112.3956	55.9075		1.2		
product catalytic rate constant	PGM		329.5014	1/s	329.5014	22.6443	42808.2968	5561420.9862				
catalytic rate constant geometric mean	ENO		25.4922	1/s	25.4922	3.5199	56.2725	110.7409				
concentration of enzyme	ENO		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	ENO		4.1632	dimensionless	4.1632	1.6029	4.6533	2.3235		1.2		
substrate catalytic rate constant	ENO		175.2159	1/s	175.2159	1.6001	195.6847	97.3101		1.2		
product catalytic rate constant	ENO		3.7089	1/s	3.7089	10.9538	65.0778	1140.0356				
catalytic rate constant geometric mean	Thio		152.7135	1/s	152.7135	1.3954	161.4277	55.3067				
concentration of enzyme	Thio		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	Thio		0.0	dimensionless	0.0	1.5599	0.0	0.0		1.2		
substrate catalytic rate constant	Thio		9.0457	1/s	9.0457	1.5588	9.9825	4.6592		1.2		
product catalytic rate constant	Thio		2578.1614	1/s	2578.1614	1.5588	2845.1518	1327.9312		1.2		
catalytic rate constant geometric mean	AAR		16.7899	1/s	16.7899	5.1033	63.3731	230.6531				
concentration of enzyme	AAR		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	AAR		287.0491	dimensionless	287.0491	1.6029	320.8482	160.2178		1.2		
substrate catalytic rate constant	AAR		130.7659	1/s	130.7659	1.6003	146.0506	72.6498		1.2		
product catalytic rate constant	AAR		2.1558	1/s	2.1558	23.8734	330.7487	50744.22				
catalytic rate constant geometric mean	FruKin		18.4162	1/s	18.4162	2.002	23.4333	18.4377				
concentration of enzyme	FruKin		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	FruKin		1087.1886	dimensionless	1087.1886	1.6028	1215.1646	606.7092		1.2		
substrate catalytic rate constant	FruKin		120.863	1/s	120.863	1.5999	134.974	67.0992		1.2		
product catalytic rate constant	FruKin		2.8061	1/s	2.8061	3.0944	5.3111	8.5345				
catalytic rate constant geometric mean	PDH		0.2545	1/s	0.2545	8.3127	2.397	22.4447				
concentration of enzyme	PDH		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PDH		860472.8992	dimensionless	860472.8992	1.603	961815.0131	480350.0408		1.2		
substrate catalytic rate constant	PDH		88.3167	1/s	88.3167	1.6007	98.6497	49.0963		1.2		
product catalytic rate constant	PDH		0.0007	1/s	0.0007	65.2496	4.5324	28001.6295				
catalytic rate constant geometric mean	PKT		0.0003	1/s	0.0003	6.7003	0.0017	0.0102				
concentration of enzyme	PKT		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PKT		19121571557.5965	dimensionless	19121571557.5965	1.603	21373332115.7086	10673575837.0585		1.2		
substrate catalytic rate constant	PKT		587.3391	1/s	587.3391	1.6005	656.026	326.4138		1.2		
product catalytic rate constant	PKT		0.0	1/s	0.0	41.9066	0.0	0.0001				
catalytic rate constant geometric mean	RibIso		456.971	1/s	456.971	3.4558	985.8274	1884.447				
concentration of enzyme	RibIso		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	RibIso		0.3911	dimensionless	0.3911	1.6029	0.4372	0.2183		1.2		
substrate catalytic rate constant	RibIso		1804.2601	1/s	1804.2601	1.6001	2015.029	1002.0204		1.2		
product catalytic rate constant	RibIso		115.7386	1/s	115.7386	10.5336	1850.7284	29536.3143				
catalytic rate constant geometric mean	RibEpi		1134.1717	1/s	1134.1717	1.3954	1198.8905	410.7514				
concentration of enzyme	RibEpi		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	RibEpi		4.2755	dimensionless	4.2755	1.5245	4.673	2.0612		1.2		
substrate catalytic rate constant	RibEpi		935.0394	1/s	935.0394	1.5234	1021.6637	449.8425		1.2		
product catalytic rate constant	RibEpi		1375.7127	1/s	1375.7127	1.5234	1503.1621	661.8481		1.2		
catalytic rate constant geometric mean	TALA		230.0244	1/s	230.0244	1.3954	243.1502	83.3056				
concentration of enzyme	TALA		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	TALA		1.0293	dimensionless	1.0293	1.5472	1.1321	0.5187		1.2		
substrate catalytic rate constant	TALA		2907.6111	1/s	2907.6111	1.5462	3197.2666	1462.251		1.2		
product catalytic rate constant	TALA		18.1975	1/s	18.1975	1.5462	20.0103	9.1516		1.2		
catalytic rate constant geometric mean	TKT1		164.2286	1/s	164.2286	2.002	208.9694	164.4205				
concentration of enzyme	TKT1		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	TKT1		0.1903	dimensionless	0.1903	1.6028	0.2127	0.1062		1.2		
substrate catalytic rate constant	TKT1		506.4529	1/s	506.4529	3.0944	958.5524	1540.3286				
product catalytic rate constant	TKT1		53.2547	1/s	53.2547	1.5999	59.4723	29.5653		1.2		
catalytic rate constant geometric mean	TKT2		48.0251	1/s	48.0251	2.002	61.1087	48.0813				
concentration of enzyme	TKT2		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	TKT2		0.0141	dimensionless	0.0141	1.6028	0.0158	0.0079		1.2		
substrate catalytic rate constant	TKT2		66.3355	1/s	66.3355	1.5999	74.0803	36.8273		1.2		
product catalytic rate constant	TKT2		34.7689	1/s	34.7689	3.0944	65.8064	105.7464				
catalytic rate constant geometric mean	FBPase		15.7463	1/s	15.7463	5.1033	59.4343	216.3172				
concentration of enzyme	FBPase		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	FBPase		104.6538	dimensionless	104.6538	1.6029	116.9764	58.4128		1.2		
substrate catalytic rate constant	FBPase		22.2541	1/s	22.2541	1.6003	24.8553	12.3638		1.2		
product catalytic rate constant	FBPase		11.1416	1/s	11.1416	23.8734	1709.409	262261.3491				
catalytic rate constant geometric mean	PTA		72.7152	1/s	72.7152	1.3954	76.8645	26.3345				
concentration of enzyme	PTA		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PTA		26.1142	dimensionless	26.1142	1.5472	28.7241	13.1589		1.2		
substrate catalytic rate constant	PTA		231.0443	1/s	231.0443	1.5462	254.0609	116.1932		1.2		
product catalytic rate constant	PTA		22.8852	1/s	22.8852	1.5462	25.1651	11.5091		1.2		
catalytic rate constant geometric mean	PYK		0.9919	1/s	0.9919	5.1033	3.7441	13.6269				
concentration of enzyme	PYK		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	PYK		21187.0545	dimensionless	21187.0545	1.6029	23681.7567	11825.6484		1.2		
substrate catalytic rate constant	PYK		207.1154	1/s	207.1154	1.6003	231.3243	115.0674		1.2		
product catalytic rate constant	PYK		0.0048	1/s	0.0048	23.8734	0.7289	111.8259				
catalytic rate constant geometric mean	SucP		75.5252	1/s	75.5252	2.002	96.1006	75.6135				
concentration of enzyme	SucP		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	SucP		23.7251	dimensionless	23.7251	1.6028	26.5179	13.2399		1.2		
substrate catalytic rate constant	SucP		149.7276	1/s	149.7276	1.5999	167.2086	83.1239		1.2		
product catalytic rate constant	SucP		38.0962	1/s	38.0962	3.0944	72.1039	115.8661				
catalytic rate constant geometric mean	HPM		396.7725	1/s	396.7725	1.851	479.5799	325.6067				
concentration of enzyme	HPM		0.001	mM	0.001	100.0	40.2875	1623081.6651				
equilibrium constant	HPM		0.6604	dimensionless	0.6604	1.6028	0.7381	0.3685		1.2		
substrate catalytic rate constant	HPM		137.6719	1/s	137.6719	1.5999	153.7445	76.4283		1.2		
product catalytic rate constant	HPM		1143.5042	1/s	1143.5042	2.5286	1758.3863	2054.0594				
Michaelis constant	PGI	G6P	0.2411	mM	0.2411	1.5146	0.2628	0.114		1.2		
Michaelis constant	PGI	F6P	0.1301	mM	0.1301	1.5146	0.1419	0.0615		1.2		
Michaelis constant	ALD	DHAP	0.114	mM	0.114	1.5876	0.1268	0.0619		1.2		
Michaelis constant	ALD	G3P	0.0708	mM	0.0708	9.3466	0.861	10.4291				
Michaelis constant	ALD	FBP	0.1687	mM	0.1687	1.5876	0.1877	0.0916		1.2		
Michaelis constant	TPI	G3P	0.377	mM	0.377	1.5146	0.4109	0.1782		1.2		
Michaelis constant	TPI	DHAP	2.9581	mM	2.9581	1.5146	3.2244	1.3984		1.2		
Michaelis constant	GAPDH	Pi	0.4517	mM	0.4517	1.5876	0.5027	0.2453		1.2		
Michaelis constant	GAPDH	G3P	0.7429	mM	0.7429	1.5876	0.8266	0.4034		1.2		
Michaelis constant	GAPDH	NAD	0.0424	mM	0.0424	1.5876	0.0471	0.023		1.2		
Michaelis constant	GAPDH	BPG	0.0696	mM	0.0696	9.383	0.8534	10.4277				
Michaelis constant	GAPDH	NADH	0.0696	mM	0.0696	9.383	0.8534	10.4277				
Michaelis constant	PGK	ADP	0.1862	mM	0.1862	1.5358	0.2041	0.0918		1.2		
Michaelis constant	PGK	BPG	0.0036	mM	0.0036	1.5358	0.0039	0.0018		1.2		
Michaelis constant	PGK	ATP	0.7975	mM	0.7975	1.5358	0.8744	0.3931		1.2		
Michaelis constant	PGK	P3G	0.3537	mM	0.3537	1.5358	0.3878	0.1743		1.2		
Michaelis constant	PGM	P3G	0.1437	mM	0.1437	9.379	1.7604	21.4895				
Michaelis constant	PGM	P2G	0.0696	mM	0.0696	9.379	0.8522	10.4028				
Michaelis constant	ENO	P2G	0.2591	mM	0.2591	1.5876	0.2883	0.1407		1.2		
Michaelis constant	ENO	PEP	0.2566	mM	0.2566	1.5876	0.2856	0.1394		1.2		
Michaelis constant	ENO	H2O	0.089	mM	0.089	9.3466	1.0812	13.0962				
Michaelis constant	Thio	AcCoA	0.117	mM	0.117	1.4146	0.1243	0.0444		1.2		
Michaelis constant	Thio	CoA	0.0082	mM	0.0082	1.5475	0.009	0.0041		1.2		
Michaelis constant	Thio	AcAcCoA	0.0174	mM	0.0174	1.5475	0.0191	0.0088		1.2		
Michaelis constant	AAR	NADH	0.0401	mM	0.0401	1.5876	0.0446	0.0218		1.2		
Michaelis constant	AAR	AcAcCoA	0.0463	mM	0.0463	1.5876	0.0515	0.0252		1.2		
Michaelis constant	AAR	NAD	0.0937	mM	0.0937	9.3817	1.1487	14.032				
Michaelis constant	AAR	HBCoA	0.0937	mM	0.0937	9.3817	1.1487	14.032				
Michaelis constant	FruKin	Fru	0.064	mM	0.064	1.5875	0.0712	0.0348		1.2		
Michaelis constant	FruKin	ATP	0.1415	mM	0.1415	1.5875	0.1574	0.0768		1.2		
Michaelis constant	FruKin	F6P	0.2463	mM	0.2463	1.5875	0.2741	0.1338		1.2		
Michaelis constant	FruKin	ADP	0.9278	mM	0.9278	1.5875	1.0324	0.5038		1.2		
Michaelis constant	PDH	PYR	0.4251	mM	0.4251	1.5877	0.4731	0.2309		1.2		
Michaelis constant	PDH	NAD	0.0632	mM	0.0632	9.4416	0.7857	9.7369				
Michaelis constant	PDH	CoA	0.0206	mM	0.0206	1.5877	0.023	0.0112		1.2		
Michaelis constant	PDH	NADH	0.1582	mM	0.1582	9.4416	1.9671	24.3769				
Michaelis constant	PDH	AcCoA	0.1582	mM	0.1582	9.4416	1.9671	24.3769				
Michaelis constant	PDH	CO2	0.1582	mM	0.1582	9.4416	1.9671	24.3769				
Michaelis constant	PKT	Pi	5.3681	mM	5.3681	1.5877	5.9734	2.9155		1.2		
Michaelis constant	PKT	X5P	2.2567	mM	2.2567	1.5877	2.5111	1.2257		1.2		
Michaelis constant	PKT	H2O	0.3714	mM	0.3714	9.4132	4.5862	56.447				
Michaelis constant	PKT	G3P	0.3714	mM	0.3714	9.4132	4.5862	56.447				
Michaelis constant	PKT	AcP	0.3714	mM	0.3714	9.4132	4.5862	56.447				
Michaelis constant	RibIso	Ri5P	2.4718	mM	2.4718	1.5876	2.7504	1.3423		1.2		
Michaelis constant	RibIso	Ru5P	0.062	mM	0.062	9.3451	0.7535	9.1232				
Michaelis constant	RibEpi	Ru5P	1.454	mM	1.454	1.5146	1.5848	0.6874		1.2		
Michaelis constant	RibEpi	X5P	9.1463	mM	9.1463	1.5146	9.9694	4.3239		1.2		
Michaelis constant	TALA	F6P	1.2509	mM	1.2509	1.5358	1.3715	0.6166		1.2		
Michaelis constant	TALA	E4P	0.4114	mM	0.4114	1.5358	0.451	0.2028		1.2		
Michaelis constant	TALA	G3P	0.0219	mM	0.0219	1.5358	0.024	0.0108		1.2		
Michaelis constant	TALA	S7P	0.1514	mM	0.1514	1.5358	0.166	0.0746		1.2		
Michaelis constant	TKT1	G3P	7.3551	mM	7.3551	1.5875	8.1842	3.9938		1.2		
Michaelis constant	TKT1	S7P	1.1148	mM	1.1148	1.5875	1.2405	0.6053		1.2		
Michaelis constant	TKT1	Ri5P	1.1468	mM	1.1468	1.5875	1.276	0.6227		1.2		
Michaelis constant	TKT1	X5P	0.1431	mM	0.1431	1.5875	0.1592	0.0777		1.2		
Michaelis constant	TKT2	F6P	0.9042	mM	0.9042	1.5875	1.0061	0.491		1.2		
Michaelis constant	TKT2	G3P	1.6817	mM	1.6817	1.5875	1.8713	0.9132		1.2		
Michaelis constant	TKT2	E4P	0.0806	mM	0.0806	1.5875	0.0896	0.0437		1.2		
Michaelis constant	TKT2	X5P	0.1399	mM	0.1399	1.5875	0.1557	0.076		1.2		
Michaelis constant	FBPase	FBP	0.0051	mM	0.0051	1.5876	0.0057	0.0028		1.2		
Michaelis constant	FBPase	H2O	0.1058	mM	0.1058	9.3817	1.2972	15.8452				
Michaelis constant	FBPase	Pi	0.2983	mM	0.2983	1.5876	0.3319	0.162		1.2		
Michaelis constant	FBPase	F6P	0.0945	mM	0.0945	9.3817	1.158	14.145				
Michaelis constant	PTA	CoA	0.0537	mM	0.0537	1.5358	0.0589	0.0265		1.2		
Michaelis constant	PTA	AcP	0.6499	mM	0.6499	1.5358	0.7125	0.3203		1.2		
Michaelis constant	PTA	Pi	1.8997	mM	1.8997	1.5358	2.0829	0.9364		1.2		
Michaelis constant	PTA	AcCoA	0.0475	mM	0.0475	1.5358	0.0521	0.0234		1.2		
Michaelis constant	PYK	ADP	0.1394	mM	0.1394	1.5876	0.1551	0.0757		1.2		
Michaelis constant	PYK	PEP	0.263	mM	0.263	1.5876	0.2926	0.1428		1.2		
Michaelis constant	PYK	ATP	0.1335	mM	0.1335	9.3817	1.636	19.9843				
Michaelis constant	PYK	PYR	0.1335	mM	0.1335	9.3817	1.636	19.9843				
Michaelis constant	SucP	Suc	9.694	mM	9.694	1.5875	10.7866	5.2637		1.2		
Michaelis constant	SucP	Pi	22.3191	mM	22.3191	1.5875	24.8347	12.119		1.2		
Michaelis constant	SucP	G1P	50.3987	mM	50.3987	1.5875	56.0793	27.3659		1.2		
Michaelis constant	SucP	Fru	25.9147	mM	25.9147	1.5875	28.8357	14.0714		1.2		
Michaelis constant	HPM	G1P	7.9931	mM	7.9931	1.5875	8.894	4.3401		1.2		
Michaelis constant	HPM	G6P	43.8437	mM	43.8437	1.5875	48.7854	23.8065		1.2		
